"id","text","summary"
"1","","Anil"
"2","AUSTIN, Texas, April 17, 2025 (GLOBE NEWSWIRE) -- The Collegiate Cricket League (CCL) is proud to host its inaugural National Championship from April 17–20, marking a milestone moment for U.S. cricket. Matches will be played at the Lonestar Premier Cricket League grounds, located at 24609 Ronald Reagan Blvd, Liberty Hill, TX 78642, with games starting daily at 9:30 a.m. CT.  With a focus on building the sport from the grassroots level, the CCL is helping shape the future of cricket in America—one student-athlete at a time.  Founded in 2025 by students at Georgetown University—and supported by USA Cricket and the National Cricket League (NCL)—the CCL is the first student-founded, student-led, and student-operated league of its kind in North America. The 2025 championship features 12 top university teams:  Georgetown University  Rice University  UCLA  University of Florida  University of Wisconsin–Madison  University of California, Irvine  University of Southern California  University of Texas at Austin  Arizona State University  Texas A&M University  University of Texas at Dallas  University of Washington  Matches will be played in the exciting “Sixty Strikes” 10-over (60-ball) format and livestreamed on the NCL Cricket app, with match times scheduled for global prime-time viewership. Broadcast partners across Southeast Asia and other cricket-loving regions will broadcast globally.  “The CCL is making an investment in American cricket’s future,” said Johnathan Atkeison, CEO of USA Cricket. “This championship is about building a pipeline. College sports are uniquely American, and we believe they are a crucial piece of our player development pathway”  ""I've seen cricket growing in America with my own eyes over the past four to five years,’’ said Wasim Akram, legendary cricketer and mentor. “However, real fan following still needs to be developed, and the game must grow at the grassroots level. The Collegiate Cricket League is an excellent initiative toward that goal. I wish all 12 teams the very best as they compete in this inaugural championship.""  “This is more than a weekend tournament—it’s a movement,” said Steven M. Smith, Executive Director of CCL. “We’re pairing the best of American education with the world’s second most popular sport. Our goal is to make the CCL one of the most-watched collegiate leagues in the world. The CCL will become the most-watched collegiate sport globally, tapping into the sports global 2.5 billion fans worldwide.”  The event is free and open to the public, and all are invited to attend and support this important moment for student-led athletics.  As a registered 501(c)(3) nonprofit, the CCL is committed to expanding access, launching men’s and women’s seasons, providing scholarships, and working with universities to elevate cricket to varsity status. To support the league’s mission or get involved, visit www.collegiatecricket.com—where you can make a tax-deductible donation to help grow cricket across North America.  Contact: Media@NCLCricket.com","Anil"
"3","周星馳主演電影《行運一條龍》的取景地「鴻運冰廳餅店」不敵北上熱潮，最終在去年12月25日聖誕節最後營業。不過該店相隔四個月極速「翻生」，據悉由翠華集團接手，保留鴻運冰廳的招牌及昔日的裝修風格，周五（18日，明日）早上11時正於原址重開。    該店品牌設計師莫先生透露，除了光榮退休的夥計外，將沿用之前的舊班底。他正計劃在推出重開初期，推出優惠茶餐回饋街坊，價格重返20年前。    周星馳主演電影《行運一條龍》的取景地「鴻運冰廳餅店」結業四個月後，將在4月18日原址重開。在4月17日晚店員作最後準備，店名仍以紅紙避蓋。（梁偉權攝）  周星馳主演電影《行運一條龍》的取景地「鴻運冰廳餅店」結業四個月後，將在4月18日原址重開。在4月17日晚店員作最後準備，店名仍以紅紙避蓋。（梁偉權攝）  周星馳主演電影《行運一條龍》的取景地「鴻運冰廳餅店」結業四個月後，將在4月18日原址重開。在4月17日晚店員作最後準備。（梁偉權攝）  保留原來的招牌在旺角上海街原址重開  去年位於旺角上海街的「鴻運冰廳餅店」，引用周星馳電影《西遊記第壹佰零壹回之月光寶盒》的經典台詞，「任何味道都有賞味期限，只係今次，無一萬年」，宣布在聖誕節結業，讓一眾電影迷大呼可惜。  鴻運冰廳餅店」將在4月18日原址重開。店方曾進行裝修，在店內閣樓外增添巨大的「鴻運」二字。（梁偉權攝）  「鴻運冰廳餅店」去年12月25日結業，原本在店內閣樓外的牆上，只有兩個圖形，沒有巨大「鴻運」二字。（資料圖片／梁鵬威攝）  翠華集團接手 「行運厚切奶油多士」索價$25  不過好消息來了，該店將保留原來的招牌，明日（18日）在原址重開。有網民在社交平台稱該店已由翠華集團接手，從上傳的相片可發現新菜單定價相當進取，其中「行運厚切奶油多士」索價25元。  「鴻運冰廳餅店」結業四個月後，將在4月18日原址重開。在4月17日晚可見，菜式單張已準備好。（梁偉權攝）  「鴻運冰廳餅店」結業四個月後，將在4月18日原址重開。在4月17日晚可見，菜式單張已準備好。（梁偉權攝）  （香港茶餐廳及美食關注組Chung Chung圖片）  擬推出優惠茶餐回饋街坊 價格重返20年前  「鴻運冰廳餅店」品牌設計師莫先生透露，明早11時正將舉行開幕儀式，正式恢復營業，除了光榮退休的夥計外，將沿用之前的舊班底。他正計劃在推出重開初期，推出優惠茶餐回饋街坊，價格重返20年前。  他又引述其老闆指，期望可保育香港過去的文化，例如舊式茶餐廳標誌性的閣樓雅座等。「見到香港嘅嘢真係愈嚟愈少喇，作為香港人都想出一分力。」  「鴻運冰廳餅店」品牌設計師莫先生在4月17日晚透露，除了光榮退休的夥計外，將沿用之前的舊班底。（梁偉權攝）  「鴻運冰廳餅店」結業四個月後，將在4月18日原址重開。在4月17日晚第三日試業後，店員為重開作最後準備。（梁偉權攝）  「鴻運冰廳餅店」結業四個月後，將在4月18日原址重開。在4月17日晚第三日試業後，店員為重開作最後準備。（梁偉權攝）  去年底因北上熱潮結業︰生意比新冠疫情期間更差  其實「鴻運冰廳餅店」為北上熱潮的苦主之一。《香港01》去年聖誕節曾直擊最後營業，當時第二代老闆家屬透露，由於通關後港人北上消費，市面人流大減，生意甚至比新冠疫情期間更差，最終只能無奈作出結業的決定。  港產片《行運一條龍》及《黑社會2以和為貴》取景地  鴻運冰廳餅店多年來保留標誌性的冰室裝修，包括綠色桌椅及復古吊燈等。該店亦是港產電影的取景地，包括由周星馳及吳孟達主演的《行運一條龍》、由任達華、古天樂及張家輝等主演的《黑社會2以和為貴》。  2024年12月25日聖誕節，周星馳主演電影《行運一條龍》取景地鴻運冰廳餅店最後營業。（資料圖片／梁鵬威攝）  ▼12月25日聖誕節 太子鴻運冰廳餅店最後營業日▼","Anil"
"4","4月16日，中国经济一季报发布：  初步核算，一季度国内生产总值318758亿元，按不变价格计算，同比增长5.4%，比上年四季度环比增长1.2%。  2025中国经济起步平稳、开局良好。稳稳的增长，为正面临很大不确定性的全球经济注入确定性，更加凸显了中国作为世界经济“稳定锚”的重要角色。  稳稳的增长，稳在经济有基础、内需有支撑。  观察一季度，消费“主引擎”贡献不小。  看实物消费，以旧换新政策加持下，电动自行车、手机、平板、智能手表等新扩围产品销量大涨，有力促进消费回升。一季度，社会消费品零售总额同比增长4.6%，比去年全年提升了1.1个百分点。  看服务消费，《哪吒2》票房收入突破150亿元，清明三天假期出游总花费达575.49亿元，茶旅融合、山谷露营、主题艺术展……服务消费方兴未艾。一季度，服务零售额同比增长5%，比商品零售高0.4个百分点。  正如国家统计局副局长盛来运所说：“中国有14亿多人口，人均GDP超过1.3万美元，正处在消费升级的关键阶段，市场成长性好、空间大，将支撑中国经济持续发展。”  稳稳的增长，稳在转型有成效、新动能增强。  突破！2月份，成功研发出全球首款光子时钟芯片，可将芯片上的时间调控速度提升100倍。  交付！日前，全球首艘、世界最大24000TEU级液化天然气双燃料动力超大型集装箱船在上海下线，交付船东。  打开经济巨轮系统升级的“总钥匙”，我国在发展新质生产力方面持续取得新进展。一季度，规模以上高技术制造业增加值同比增长9.7%，高技术制造业增加值占工业的比重达15.7%，工业向高端化、智能化、绿色化转型的趋势明显。  国家统计局数据显示，截至去年底，“三新”经济增加值占GDP比重为18%左右，数字经济核心产业增加值占GDP的比重达10%左右，中国经济原来依靠投资和出口带动的发展模式发生了根本改变，依靠内需和创新驱动共同推动经济增长的新格局正在形成。  稳稳的增长，稳在市场更多元、出口有韧性。  连日来，美国政府不断升级对华关税，关税战下中国外贸能否顶得住？  从一季报里的几个出口指标，可以窥见中国外贸的韧性。  规模体量大。一季度，我国进出口规模创历史同期新高，连续8个季度超过了10万亿元。其中，出口6.13万亿元，同比增长6.9%。随着经济规模越来越大，“体量大稳得住”“规模经济效应”等优势也越来越明显，将为抵御各种外部冲击创造有利条件。  市场更多元。一季度，我国对共建“一带一路”国家出口同比增长7.2%，货物进出口额占全部进出口额比重超过50%，多元化市场格局正在形成。这意味着，我国对单一出口市场的依存度在下降。截至去年底，我国对美国的出口额占出口总额的比重已从2018年的19.2%下降到14.7%。当鸡蛋不再放在一个篮子里，抵御风险的能力在增强。  稳稳的增长，稳在信心在恢复、民企有活力。  仔细分析一季度各项指标，有个数据特别值得关注：今年一季度，民间投资同比增长0.4%，由上年全年下降转为增长。若扣除房地产开发投资后，民间投资同比增长6.0%。  分析民间投资结构，制造业民间投资同比增长9.7%，基础设施民间投资同比增长9.3%，均快于各自领域平均增速……拿出真金白银，投入研发、生产、建设，显示出广大民企对发展大势的坚定信心，还有应对挑战、求新求变的积极心态。  当前，世界百年变局加速演进，多重风险挑战叠加。作为全球第二大经济体，中国经济开局良好，国际组织及华尔街金融机构纷纷上调对中国经济增长的预测，看好中国资本市场。  “70多年来，中国发展始终靠的是自力更生、艰苦奋斗，从不靠谁的恩赐，更不畏惧任何无理打压。无论外部环境如何变化，中国都将坚定信心、保持定力，集中精力办好自己的事。”  以高质量发展的确定性应对外部环境的不确定性，中国经济航船将乘风破浪、行稳致远。","Anil"
"5","Male youth allegedly approached the girl from behind and started touching and slapping her bum. Photograph: Graham Hughes/Photocall Ireland  A teenager is facing a sexual assault charge over an allegation that he “humped” a 15 -year-old girl from behind in front of a group of teenage boys.  A children’s District Court in Co Clare heard the male was 14 at the time of the alleged incident.  State Solicitor for Clare, Aisling Casey, outlined the case against the teen who is now aged 17.  The accused was accompanied in court by his mother.  READ MORE  Ms Casey said someone allegedly took the girl’s phone, along with a Revolut card and €20 when at a location in Clare in May 2022.  The girl walked over to a group of males to ask for her phone and spoke to another juvenile who was with the accused. He gave back the phone but there was no money or card in it, she said. There is no suggestion the accused took the card or the money, the court heard.  Ms Casey said the accused then allegedly came from behind and “started touching her bum, and he slapped her bum and grabbed it and she turned around and told him to stop”.  Ms Casey said the accused then allegedly grabbed the girl’s waist. The court heard the girl told members of An Garda Síochána “he humped me and I turned around and I told him to stop and he wouldn’t stop”.  Ms Casey said the girl explained she meant the boy “grabbed my hips and thrust his hips into my bum”.  Ms Casey said the accused was not known to the alleged injured party and he was also identified by footage provided to gardaí.  Ms Casey said the alleged sexual assault is touching outside the clothing and that the Director of Public Prosecutions has directed summary disposal in the District Court. Judge Alec Gabbett agreed with the recommendation.  Solicitor Daragh Hassett, for the accused, said an adjournment will allow him to receive instructions from his client.  “It is a difficult case. I am very conscious that he is getting older,” Mr Hassett said.  Ms Casey saiid the case needs to be expedited as it involves minors.  Judge Gabbett adjourned the case to May 6th for mention with the intention of having it heard on July 1st.","Anil"
"6","El Ibex 35 se va de Semana Santa con una revalorización del 5,14% en las últimas cuatro sesiones. Alza que se produce en plenas dudas sobre el impacto que tendrá la guerra arancelaria sobre el crecimiento global, y sobre la que este jueves han alertado tanto el Banco Central Europeo (BCE) como el Fondo Monetario Internacional (FMI).  El selectivo acaba la semana en los 12.918 puntos, tras una sesión plana la de este jueves que culmina con una caída del 0,19%. Salva así los 12.900 que han estado en juego durante prácticamente toda la jornada.  No ha ayudado la apatía propia de las vacaciones en España. De hecho, no habrá bolsa en Europa hasta el próximo martes, 22 de abril.  Así cierra el Ibex 35 Eduardo Bolinches  Tampoco ha convencido a los inversores el recorte de tipos de un cuarto de punto del BCE. Una decisión ""preventiva"", dicen los analistas de ING, para evitar quedarse ""rezagado"" respecto a la evolución de la economía europea.  En la jornada de este jueves en el Ibex 35 el valor más castigado ha sido CaixaBank, que se deja un 2,16% seguido de Bankinter con un 2%. Acciona ha bajado un 1,8% por un recorte en su valoración por parte de Morgan Stanley.  En la parte alta de la tabla, Repsol suma un 1,77% seguida de Colonial y Telefónica, ambas con subidas del entorno del punto y medio porcentual.  Las dudas del Ibex 35 se han mantenido en el resto de mercados europeos este jueves. Así, el Dax se ha dejado medio punto porcentual; el CAC 40 de París, cerca del 0,6% y el Ftse Mib, un 0,4%. El Euro Stoxx, por su parte, recorta un 0,6%.  La presidenta del Banco Central Europeo, Christine Lagarde, no ha logrado despejar dudas entre los inversores. Al menos en lo que a la renta variable se refiere. Reconoce que existen grandes ""incertidumbres"" que pasarán factura a la economía.  Así, la prima de riesgo española se sitúa al cierre de la jornada en los 70 puntos, mientras que el bono a 10 años está en el 3,18%.  El oro, principal activo refugio, está en los 3.339 dólares la onza con una subida en los últimos cuatro días de algo más del 2%. El crudo Brent, por su parte, de referencia en Europa, se sitúa en los 66,74 dólares por barril, lo que supone un alza del 3,46% desde el pasado lunes.","Anil"
"7","وقال شي جين بينغ، بحسب ما نقله التلفزيون المركزي الصيني إن ""الحروب التجارية تقوض النظام التجاري المتعدد الأطراف وتدمر النظام الاقتصادي العالمي.  وحث دول العالم على الاتحاد قائلا: ""على الدول أن تتحد، وأن تُمسك بقوة بزمام قضايا الأمن القومي وحقها في التنمية المستقلة، وأن تلتزم بمبادئ الاحترام المتبادل والمنفعة المتبادلة والتنمية المشتركة، وأن تعمل معا على بناء مجتمع ذي مستقبل مشترك للبشرية"".  كما أشار الرئيس الصيني إلى أن ""النزعة الأحادية والهيمنة لا تحظى بالدعم، ولا ترغب أي دولة في العودة إلى العزلة"".  يذكر أن الرئيس الأمريكي دونالد ترامب وقع في الثاني من أبريل الجاري، مرسوما بفرض رسوم جمركية ""متبادلة"" على الواردات من دول أخرى.  بلغت النسبة الأساسية لهذه الرسوم 10%، وابتداء من 9 أبريل دخلت حيز التنفيذ معدلات مرتفعة لـ57 دولة، تم احتسابها بناءً على العجز التجاري الأمريكي مع كل دولة على حدة، بهدف تحويل العجز إلى توازن كما أشار ترامب.  وفي 9 أبريل أعلن الرئيس الأمريكي أن أكثر من 75 دولة لم تتخذ إجراءات مضادة وطلبت الدخول في مفاوضات، ولذلك سيتم تطبيق الرسوم الأساسية البالغة 10% لمدة 90 يوما على الجميع باستثناء الصين.  وبعد سلسلة من الخطوات في الحرب التجارية، بلغت الرسوم ""المتبادلة"" الإضافية للولايات المتحدة على البضائع الصينية نسبة 125%، وفرضت الصين رسوما مماثلة بنسبة 125% على البضائع الأمريكية. بالإضافة إلى ذلك، لدى الولايات المتحدة رسم جمركي إضافي بنسبة 20% على الصين تم فرضه على خلفية اتهامات بعدم مكافحة المواد المخدرة الاصطناعية بشكل كاف.  المصدر: RT","Anil"
"8","TRABZONSPOR Kulübü Asbaşkanı Zeyyat Kafkas, Süper Lig'de şampiyonluk yaşamış kulüplerin Divan Kurullarının Trabzon buluşmasında açıklamalarda bulundu. Kafkas burada yaptığı konuşmada, ""Finalistler belli olmadan Türkiye Kupası finalinin oynanacağı stadyumun açıklanması kabul edilemez"" dedi.  Süper Lig'de şampiyonluk yaşamış kulüplerin divan kurulları, bugün Mehmet Ali Yılmaz Tesisleri'nde düzenlenen toplantıda bir araya geldi. Trabzonspor adına Asbaşkan Zeyyat Kafkas ve Divan Başkanlık Kurulu Başkanı Mahmut Ören'in ev sahipliğinde gerçekleştirilen toplantıya; Beşiktaş Divan Kurulu Başkanı Tevfik Yamantürk, Başkan Vekili Fethi Hinginar ve Genel Sekreter Turgay Pirinç, Bursaspor Divan Kurulu Başkanı Gökhan Tuzlacıoğlu, Başkan Yardımcısı Haluk Hısımcıl ve Sekreter Suat Gençosman, Fenerbahçe Divan Kurulu Başkan Vekili Hakkı Kurtuluş ve Genel Sekreter Levent Hataylı, Galatasaray Divan Kurulu Başkanı Aykutalp Derkan, Başkan Vekili Sonay Kale ve Genel Sekreter Yalçın Kaya ile RAMS Başakşehir Divan Kurulu Başkanı Kağan Şahin katıldı. Trabzonspor Kulübü Asbaşkanı Zeyyat Kafkas, toplantıda önemli açıklamalarda bulundu. Toplantının açılışında katılımcılara ""Hoş geldiniz"" diyerek sözlerine başlayan Asbaşkan Kafkas, Başkan Ertuğrul Doğan'ın selam ve sevgilerini iletti. Kafkas ""Trabzon'a hoş geldiniz. Sizleri kulübümüzde ağırlamaktan büyük memnuniyet ve gurur duyuyoruz. Her zaman başımızın üzerinde yeriniz var"" dedi.  'SON DERECE SIKINTILI BİR SEZON YAŞIYORUZ'  Bugün futbolun futboldan uzaklaştığı bir dönem yaşandığını söyleyen Kafkas, ""Son birkaç yıldır divan başkanları düzeyinde sergilenen birlik ve duruş son derece kıymetli. Ancak ne yazık ki futbolun, futboldan tamamen uzaklaştığı son derece sıkıntılı bir sezon yaşıyoruz. Herkesin ortak arzusu; sahada kalmak ve futbol konuşmak. Fakat bugün geldiğimiz noktada futbolun dışında her şey konuşulur hale geldi. Bu durum hepimizi derinden rahatsız ediyor"" dedi.  'FİNALİSTLER BELLİ OLMADAN STADYUMUN AÇIKLANMASI KABUL EDİLEMEZ'  Ziraat Türkiye Kupası finalinin oynanacağı stadyumun açıklanmasına da tepki gösteren Kafkas şunları söyledi: ""Bugün Ziraat Türkiye Kupası finalinin oynanacağı stadyum açıklandı. Oysa biz şu anda sadece final adayıyız. Elbette finale kalmamız durumunda söyleyeceklerimiz çok daha net olacaktır. Ancak bu karar dahi kamuoyunda, sanki finalistler belirlenmiş ve planlar buna göre yapılmış izlenimi yaratıyor. Bu yaklaşım hem bizleri hem de sporseverleri rahatsız ediyor. Ben kamuoyunun sesini sizlere aktarıyorum ve aynı hassasiyeti sizlerin de paylaştığını düşünüyorum. Henüz finalistler netleşmemişken kulüplerin tarihsel bağlamda yaşadığı deneyimler, güvenlik hassasiyetleri ve diğer faktörler göz ardı edilerek böyle bir kararın açıklanması hepimizi derinden üzmektedir""","Anil"
"9","La Fiscalía de Tecate lidera campañas de prevención en el entorno estudiantil. (FGE Tecate)  En un esfuerzo por consolidar la seguridad y la prevención en las comunidades escolares, la Fiscalía Regional de Tecate, en colaboración con diversas instituciones, llevó a cabo una jornada de trabajo en la Preparatoria No. 25 del CECyTE  Esta actividad se enmarcó dentro de la Jornada Nacional de Prevención contra las Adicciones y tuvo como objetivo principal establecer un diálogo cercano con estudiantes y docentes, además de implementar medidas preventivas en el entorno educativo.  Según informó la Fiscalía General del Estado de Baja California, estas acciones buscan fortalecer la confianza de los jóvenes hacia las autoridades y fomentar entornos escolares más seguros.  Una jornada educativa especial  SEDENA y Seguridad Municipal participan en actividades contra el consumo de sustancias. (FGE Tecate)  De acuerdo con la información publicada por la Fiscalía, la actividad fue liderada por el fiscal regional de Tecate, Genaro Adrián Guzmán García, quien destacó la importancia de generar espacios de interacción directa con los estudiantes.  Durante la jornada, se presentaron los servicios de atención, orientación y seguimiento que la Fiscalía pone a disposición de la comunidad, con el propósito de atender las necesidades de los jóvenes y sus familias en temas relacionados con la seguridad y la prevención de adicciones.  Uno de los momentos destacados de la jornada fue la participación del binomio canino K9 “Maya”, que acompañó al equipo de la Fiscalía en un recorrido por las aulas del plantel.  Según detalló la institución, la presencia de este binomio no sólo permitió hacer revisiones preventivas, sino que también ayudó a establecer un vínculo de confianza entre los estudiantes y las autoridades.  La interacción con “Maya” fue clave para reforzar el mensaje de prevención y seguridad, además de sensibilizar a los jóvenes sobre los riesgos asociados al consumo de sustancias adictivas.  La Fiscalía subrayó que estas acciones forman parte de un enfoque integral que busca combatir las adicciones desde una perspectiva preventiva, involucrando tanto a los estudiantes como al personal docente en la construcción de un entorno escolar más seguro y saludable.  Colaboración para fortalecer la seguridad  Estudiantes interactúan con el binomio canino “Maya” en jornada de sensibilización. (FGE Tecate)  La jornada contó con la participación de otras instituciones clave en materia de seguridad y prevención. Según informó la Fiscalía, se trabajó en coordinación con la Dirección de Seguridad y Tránsito Municipal de Tecate y con elementos de la Secretaría de la Defensa Nacional (SEDENA).  Esta colaboración interinstitucional permitió sumar esfuerzos para abordar de manera conjunta los desafíos relacionados con la prevención de adicciones y la seguridad en el municipio.  La Fiscalía destacó que esta alianza estratégica con otras dependencias refuerza el compromiso de las autoridades de Tecate con la ciudadanía, especialmente con las nuevas generaciones. La participación de la SEDENA y la Dirección de Seguridad y Tránsito Municipal fue fundamental para garantizar el éxito de las actividades realizadas en la Preparatoria No. 25 del CECyTE.  Según informó la institución, la prevención es un eje clave en la construcción de comunidades más seguras, informadas y participativas. En este sentido, las acciones realizadas en Tecate forman parte de una estrategia más amplia que busca atender las necesidades de los jóvenes y promover su bienestar integral.  La Fiscalía enfatizó que estas actividades no sólo tienen como objetivo prevenir el consumo de sustancias adictivas, sino también fomentar una cultura de confianza y colaboración entre las autoridades y la comunidad estudiantil. Con este enfoque se busca empoderar a los jóvenes para que se conviertan en agentes de cambio dentro de sus comunidades, contribuyendo así a la construcción de un entorno más seguro y saludable para todos.  La jornada realizada en la Preparatoria No. 25 del CECyTE representa un modelo de intervención que podría replicarse en otras comunidades escolares de Baja California.  Según destacó la Fiscalía, este tipo de iniciativas son fundamentales para abordar de manera preventiva los problemas asociados al consumo de sustancias adictivas, especialmente entre los jóvenes.  La institución reiteró su compromiso de continuar trabajando en estrecha colaboración con otras dependencias y con la comunidad en general para fortalecer las acciones de prevención y seguridad en el estado. Además, hizo un llamado a las familias, docentes y estudiantes a sumarse a estos esfuerzos, reconociendo que la prevención es una tarea compartida que requiere la participación activa de todos los sectores de la sociedad.","Anil"
"10","The overdue vessel is a four-and-a-half-metre Hewes recreational boat registered in Washington state as WN 8608CZ. (U.S. Coast Guard)","Anil"
